UML Type,UID Business Object,Business Object,UID Feature,Feature,Description,UID Data Type,Data Type,UID Owner,Owner Element,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
Class,9bc7af8d-d46f-e911-8237-06309b11004c,PartyRoleType,,,"A Classification Hierarchy that distinguishes between Party Roles according to the associated object type.

Associated object types are for example location (PartyLocation), agreement (Agreement Involvement) , Product (Product Involvement); etc.",Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,3dcd65da-62b7-e911-8291-0657c6eca57a,CardClearingProcedure,,,A procedure for managing the card clearing process. ,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,1ba36a9e-3f9f-ea11-829a-068b70783c3c,EBranchChannelManagementPlanDuty,,,,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Attribute,1ba36a9e-3f9f-ea11-829a-068b70783c3c,EBranchChannelManagementPlanDuty,97a8aab1-3f9f-ea11-829a-068b70783c3c,EBranchChannelManagementPlanDutyType,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Class,432d495b-30d6-e911-8296-06e1705194c6,RuleSetInvolvement,,,"A specific party who plays a specific role in a specific rule set like Publication Agency, Regulatory Authority and etc.",Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Attribute,432d495b-30d6-e911-8296-06e1705194c6,RuleSetInvolvement,4e5d9b0d-c9f0-e911-82b5-06d1970e916c,RuleSetInvolvementType,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Class,5d35477a-add7-e911-82a8-06ff143686d8,VoiceChannelSessionIssue,,,A production problem that occurred during a Voice Channel Operating Session.,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,506d0b29-0568-e911-8237-06dd5e24f7bc,Invoice,,,"A formal request to pay an amount of money owed for delivered goods or services.   

What is invoiced should be conformant to 
- what is agreed in a customer agreement and 
- applicable regulations. 
- Good or services. 

",Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Attribute,506d0b29-0568-e911-8237-06dd5e24f7bc,Invoice,1501ef67-0c68-e911-8237-06dd5e24f7bc,InvoiceIdentifier,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,506d0b29-0568-e911-8237-06dd5e24f7bc,Invoice,93631373-0c68-e911-8237-06dd5e24f7bc,InvoiceType,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
