UID Class Diagram,UID Relation,UID BO From,BO From,UID BO To,BO To
264c59d6-2002-eb11-82be-0632752cdf09,b985bf12-e73a-eb11-82e3-06a412e5ead5,235adec0-d53a-eb11-82e3-06a412e5ead5,LeaseAgreement,b2f7829a-0a68-e911-8237-06dd5e24f7bc,Agreement
264c59d6-2002-eb11-82be-0632752cdf09,c5e97cbd-799d-e911-827a-069b88dafb42,7effad6e-9965-e911-8237-06eba4258fe0,Instruction,dd3cc0aa-0a68-e911-8237-06dd5e24f7bc,Arrangement
264c59d6-2002-eb11-82be-0632752cdf09,2f743c55-0b55-eb11-82e3-06796197f98f,efc5b4c1-ab59-eb11-82e3-069263446f67,LeaseInstruction,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement
264c59d6-2002-eb11-82be-0632752cdf09,851d63d5-a959-eb11-82e3-069263446f67,30a4d16d-6080-e911-823e-061de61e9206,Asset,3914dd1c-a959-eb11-82e3-069263446f67,LeasingItemArrangement
264c59d6-2002-eb11-82be-0632752cdf09,927e5a4c-1055-eb11-82e3-06796197f98f,430f3a3b-0b55-eb11-82e3-06796197f98f,LeaseTransaction,5708a70e-fd6f-e911-8237-06309b11004c,Transaction
264c59d6-2002-eb11-82be-0632752cdf09,a2d6110a-ac59-eb11-82e3-069263446f67,efc5b4c1-ab59-eb11-82e3-069263446f67,LeaseInstruction,430f3a3b-0b55-eb11-82e3-06796197f98f,LeaseTransaction
0bde4cb0-73ff-ea11-82be-06dd926e0b07,676671b9-e72f-eb11-82d9-06046f4758b7,7df4c544-9cc9-e911-8296-067806600528,CustomerCase,5e483450-e92f-eb11-82d9-06046f4758b7,CustomerCaseRootCauseAnalysis
0bde4cb0-73ff-ea11-82be-06dd926e0b07,3cca224b-9cc9-e911-8296-067806600528,7df4c544-9cc9-e911-8296-067806600528,CustomerCase,be9acfc4-7880-e911-823e-066c44d66510,Case
0bde4cb0-73ff-ea11-82be-06dd926e0b07,d879b730-2e76-e911-823e-065f1d1f71b2,6aa1554b-7675-e911-823e-064d1e9fbc72,Analysis,231bdf18-2e76-e911-823e-065f1d1f71b2,Algorithm
0bde4cb0-73ff-ea11-82be-06dd926e0b07,83fb495a-e92f-eb11-82d9-06046f4758b7,5e483450-e92f-eb11-82d9-06046f4758b7,CustomerCaseRootCauseAnalysis,80a41510-4da6-ea11-829f-063187a0cc58,RootCauseAnalysis
0bde4cb0-73ff-ea11-82be-06dd926e0b07,e75f9ddd-fb2f-eb11-82d9-06046f4758b7,56f6f84a-0be1-e911-82a8-06ca917a32e2,ProductionTransaction,7df4c544-9cc9-e911-8296-067806600528,CustomerCase
0bde4cb0-73ff-ea11-82be-06dd926e0b07,24e39716-4da6-ea11-829f-063187a0cc58,80a41510-4da6-ea11-829f-063187a0cc58,RootCauseAnalysis,6aa1554b-7675-e911-823e-064d1e9fbc72,Analysis
0bde4cb0-73ff-ea11-82be-06dd926e0b07,e5447864-1857-ea11-8289-06a605eb4d64,7df4c544-9cc9-e911-8296-067806600528,CustomerCase,845fa448-1857-ea11-8289-06a605eb4d64,CustomerCaseResolution
0bde4cb0-73ff-ea11-82be-06dd926e0b07,198e79a3-1195-ea11-8295-06c610ca3b44,5a0999c1-f09b-e911-827a-06f79ea59412,ServicingEventLog,baf84f9a-1195-ea11-8295-06c610ca3b44,ServicingRootCauseAnalysis
0bde4cb0-73ff-ea11-82be-06dd926e0b07,2f64dbfb-f09b-e911-827a-06f79ea59412,5a0999c1-f09b-e911-827a-06f79ea59412,ServicingEventLog,525ff2e7-ee9b-e911-827a-06f79ea59412,ServicingEvent
0bde4cb0-73ff-ea11-82be-06dd926e0b07,9d98ae41-f62f-eb11-82d9-06046f4758b7,5e483450-e92f-eb11-82d9-06046f4758b7,CustomerCaseRootCauseAnalysis,baf84f9a-1195-ea11-8295-06c610ca3b44,ServicingRootCauseAnalysis
0bde4cb0-73ff-ea11-82be-06dd926e0b07,c7583fbd-f72f-eb11-82d9-06046f4758b7,5e483450-e92f-eb11-82d9-06046f4758b7,CustomerCaseRootCauseAnalysis,02edad2d-f7e4-e911-82b0-0662ffb5e934,FraudCaseRootCauseAnalysis
7dc4433e-2102-eb11-82be-0632752cdf09,9a1990b6-d93a-eb11-82e3-06a412e5ead5,235adec0-d53a-eb11-82e3-06a412e5ead5,LeaseAgreement,cf32eda8-d93a-eb11-82e3-06a412e5ead5,LeaseAgreementInvolvement
7dc4433e-2102-eb11-82be-0632752cdf09,18d7d331-2381-e911-823e-06e233b9c772,5e8ac218-7780-e911-823e-061de61e9206,CollateralAgreement,b2f7829a-0a68-e911-8237-06dd5e24f7bc,Agreement
7dc4433e-2102-eb11-82be-0632752cdf09,48c7256f-0061-e911-8237-068e13695e26,9fe05cf9-fd60-e911-8237-068e13695e26,Account,69ad2f0a-0061-e911-8237-068e13695e26,AccountEntry
7dc4433e-2102-eb11-82be-0632752cdf09,b985bf12-e73a-eb11-82e3-06a412e5ead5,235adec0-d53a-eb11-82e3-06a412e5ead5,LeaseAgreement,b2f7829a-0a68-e911-8237-06dd5e24f7bc,Agreement
7dc4433e-2102-eb11-82be-0632752cdf09,bd5869bf-e13a-eb11-82e3-06a412e5ead5,235adec0-d53a-eb11-82e3-06a412e5ead5,LeaseAgreement,5e8ac218-7780-e911-823e-061de61e9206,CollateralAgreement
7dc4433e-2102-eb11-82be-0632752cdf09,177363b6-1155-eb11-82e3-06796197f98f,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement,9fe05cf9-fd60-e911-8237-068e13695e26,Account
7dc4433e-2102-eb11-82be-0632752cdf09,251d2891-e83a-eb11-82e3-06a412e5ead5,cf32eda8-d93a-eb11-82e3-06a412e5ead5,LeaseAgreementInvolvement,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole
7dc4433e-2102-eb11-82be-0632752cdf09,52713aa3-db3a-eb11-82e3-06a412e5ead5,235adec0-d53a-eb11-82e3-06a412e5ead5,LeaseAgreement,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement
7dc4433e-2102-eb11-82be-0632752cdf09,927e5a4c-1055-eb11-82e3-06796197f98f,430f3a3b-0b55-eb11-82e3-06796197f98f,LeaseTransaction,5708a70e-fd6f-e911-8237-06309b11004c,Transaction
7dc4433e-2102-eb11-82be-0632752cdf09,4503bd81-8257-e911-8237-0645314e65ac,6f53fd37-8257-e911-8237-0645314e65ac,Party,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole
7dc4433e-2102-eb11-82be-0632752cdf09,2f743c55-0b55-eb11-82e3-06796197f98f,efc5b4c1-ab59-eb11-82e3-069263446f67,LeaseInstruction,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement
7dc4433e-2102-eb11-82be-0632752cdf09,e5727efe-a486-e911-823e-062687e6a904,1aeced65-0b68-e911-8237-06dd5e24f7bc,BankingProduct,823053bb-a486-e911-823e-062687e6a904,ProductFeature
7dc4433e-2102-eb11-82be-0632752cdf09,509498b8-f097-e911-827a-06d89370a58e,823053bb-a486-e911-823e-062687e6a904,ProductFeature,dd3cc0aa-0a68-e911-8237-06dd5e24f7bc,Arrangement
7dc4433e-2102-eb11-82be-0632752cdf09,59eaf775-0b68-e911-8237-06dd5e24f7bc,bc776ea2-9455-eb11-82e3-06afd984332d,LeasingProduct,235adec0-d53a-eb11-82e3-06a412e5ead5,LeaseAgreement
7dc4433e-2102-eb11-82be-0632752cdf09,870c4caf-1155-eb11-82e3-06796197f98f,430f3a3b-0b55-eb11-82e3-06796197f98f,LeaseTransaction,69ad2f0a-0061-e911-8237-068e13695e26,AccountEntry
7dc4433e-2102-eb11-82be-0632752cdf09,d29fc92c-9555-eb11-82e3-06afd984332d,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement,dd3cc0aa-0a68-e911-8237-06dd5e24f7bc,Arrangement
7dc4433e-2102-eb11-82be-0632752cdf09,d0e6edfe-a255-eb11-82e3-06afd984332d,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement,0a28b29d-5c96-e911-823e-062d75b50cca,WithdrawalServiceArrangement
7dc4433e-2102-eb11-82be-0632752cdf09,104a7d08-a455-eb11-82e3-06afd984332d,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement,2cd1dc8a-85a4-e911-8284-062084c0b880,DeviceArrangement
7dc4433e-2102-eb11-82be-0632752cdf09,d2252c27-a455-eb11-82e3-06afd984332d,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement,80603ecd-74a9-ea11-829f-06478228ed28,CorporateActionArrangement
7dc4433e-2102-eb11-82be-0632752cdf09,7ba1ba73-a255-eb11-82e3-06afd984332d,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement,ca976c42-7c96-e911-823e-062d75b50cca,SweepArrangement
7dc4433e-2102-eb11-82be-0632752cdf09,62062a0c-a355-eb11-82e3-06afd984332d,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement,a6ea66b8-8596-e911-823e-062d75b50cca,PaymentServiceArrangement
7dc4433e-2102-eb11-82be-0632752cdf09,9a5562bc-a255-eb11-82e3-06afd984332d,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement,01d64189-5c96-e911-823e-062d75b50cca,DepositServiceArrangement
7dc4433e-2102-eb11-82be-0632752cdf09,5f4b8129-a355-eb11-82e3-06afd984332d,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement,280f7086-bf56-e911-8237-06ecaacb4c68,CollateralAssetArrangement
7dc4433e-2102-eb11-82be-0632752cdf09,98e1f190-a455-eb11-82e3-06afd984332d,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement,efd74dde-5896-e911-823e-062d75b50cca,LienArrangement
7dc4433e-2102-eb11-82be-0632752cdf09,ada2d058-a255-eb11-82e3-06afd984332d,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement,f0129ac2-3394-e911-823e-069871e4ec9c,InterestArrangement
7dc4433e-2102-eb11-82be-0632752cdf09,0dda4461-a255-eb11-82e3-06afd984332d,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement,974543f6-3494-e911-823e-069871e4ec9c,FeeArrangement
7dc4433e-2102-eb11-82be-0632752cdf09,69dcc6b2-a659-eb11-82e3-069263446f67,bc776ea2-9455-eb11-82e3-06afd984332d,LeasingProduct,1aeced65-0b68-e911-8237-06dd5e24f7bc,BankingProduct
7dc4433e-2102-eb11-82be-0632752cdf09,a2d6110a-ac59-eb11-82e3-069263446f67,efc5b4c1-ab59-eb11-82e3-069263446f67,LeaseInstruction,430f3a3b-0b55-eb11-82e3-06796197f98f,LeaseTransaction
7dc4433e-2102-eb11-82be-0632752cdf09,a3bb9935-a959-eb11-82e3-069263446f67,3914dd1c-a959-eb11-82e3-069263446f67,LeasingItemArrangement,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement
7dc4433e-2102-eb11-82be-0632752cdf09,2a41586f-e0a4-ea11-829f-0660fb1fa966,1aeced65-0b68-e911-8237-06dd5e24f7bc,BankingProduct,2b91327b-b6a4-ea11-829f-0660fb1fa966,FinancialInstrument
7dc4433e-2102-eb11-82be-0632752cdf09,e4997e6f-e13a-eb11-82e3-06a412e5ead5,30a4d16d-6080-e911-823e-061de61e9206,Asset,235adec0-d53a-eb11-82e3-06a412e5ead5,LeaseAgreement
7dc4433e-2102-eb11-82be-0632752cdf09,3c023fcf-b559-eb11-82e3-069263446f67,efc5b4c1-ab59-eb11-82e3-069263446f67,LeaseInstruction,7effad6e-9965-e911-8237-06eba4258fe0,Instruction
7dc4433e-2102-eb11-82be-0632752cdf09,851d63d5-a959-eb11-82e3-069263446f67,30a4d16d-6080-e911-823e-061de61e9206,Asset,3914dd1c-a959-eb11-82e3-069263446f67,LeasingItemArrangement
799cbad6-2102-eb11-82be-0632752cdf09,603a3176-c456-e911-8237-06ecaacb4c68,3225a15a-2356-e911-8237-060aad038e48,LoanAgreement,01e5035a-be56-e911-8237-06ecaacb4c68,LoanAgreementInvolvement
799cbad6-2102-eb11-82be-0632752cdf09,2a41586f-e0a4-ea11-829f-0660fb1fa966,1aeced65-0b68-e911-8237-06dd5e24f7bc,BankingProduct,2b91327b-b6a4-ea11-829f-0660fb1fa966,FinancialInstrument
799cbad6-2102-eb11-82be-0632752cdf09,c283149f-315f-eb11-82e9-06394efee01d,9c2adc62-2356-e911-8237-060aad038e48,LoanProduct,9348d23d-739e-e911-827a-067a41d69b6e,Loan
799cbad6-2102-eb11-82be-0632752cdf09,4503bd81-8257-e911-8237-0645314e65ac,6f53fd37-8257-e911-8237-0645314e65ac,Party,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole
799cbad6-2102-eb11-82be-0632752cdf09,8393796f-26aa-e911-8288-0674300188c0,0a28b29d-5c96-e911-823e-062d75b50cca,WithdrawalServiceArrangement,6dc9f3aa-ffa6-e911-8288-068d1795c1bc,LoanArrangement
799cbad6-2102-eb11-82be-0632752cdf09,2d27a801-2f5f-eb11-82e9-06394efee01d,6dc9f3aa-ffa6-e911-8288-068d1795c1bc,LoanArrangement,0c2f16e0-2e5f-eb11-82e9-06394efee01d,LoanInstruction
799cbad6-2102-eb11-82be-0632752cdf09,f43058fa-2e5f-eb11-82e9-06394efee01d,f39adfe7-2e5f-eb11-82e9-06394efee01d,LoanTransaction,69ad2f0a-0061-e911-8237-068e13695e26,AccountEntry
799cbad6-2102-eb11-82be-0632752cdf09,3c33103d-26aa-e911-8288-0674300188c0,f0129ac2-3394-e911-823e-069871e4ec9c,InterestArrangement,6dc9f3aa-ffa6-e911-8288-068d1795c1bc,LoanArrangement
799cbad6-2102-eb11-82be-0632752cdf09,8bce17f3-c456-e911-8237-06ecaacb4c68,9c2adc62-2356-e911-8237-060aad038e48,LoanProduct,3225a15a-2356-e911-8237-060aad038e48,LoanAgreement
799cbad6-2102-eb11-82be-0632752cdf09,6b0cd1a2-285f-eb11-82e9-06394efee01d,771cbe9b-bea1-ea11-829a-065300d6f09e,DebtInstrument,2b91327b-b6a4-ea11-829f-0660fb1fa966,FinancialInstrument
799cbad6-2102-eb11-82be-0632752cdf09,f845c0a0-2f5f-eb11-82e9-06394efee01d,0c2f16e0-2e5f-eb11-82e9-06394efee01d,LoanInstruction,e6304f28-fd60-e911-8237-068e13695e26,PaymentInstruction
799cbad6-2102-eb11-82be-0632752cdf09,e74ea30d-2d5f-eb11-82e9-06394efee01d,efd74dde-5896-e911-823e-062d75b50cca,LienArrangement,6dc9f3aa-ffa6-e911-8288-068d1795c1bc,LoanArrangement
799cbad6-2102-eb11-82be-0632752cdf09,31989ad4-07a7-e911-8288-068d1795c1bc,9c2adc62-2356-e911-8237-060aad038e48,LoanProduct,1aeced65-0b68-e911-8237-06dd5e24f7bc,BankingProduct
799cbad6-2102-eb11-82be-0632752cdf09,48c7256f-0061-e911-8237-068e13695e26,9fe05cf9-fd60-e911-8237-068e13695e26,Account,69ad2f0a-0061-e911-8237-068e13695e26,AccountEntry
799cbad6-2102-eb11-82be-0632752cdf09,13f1c6d3-2f5f-eb11-82e9-06394efee01d,0c2f16e0-2e5f-eb11-82e9-06394efee01d,LoanInstruction,7effad6e-9965-e911-8237-06eba4258fe0,Instruction
