UID Relation,Relation Name,UID BO From,From,Relationship From properties,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,UID  BO To,To,Relationship To properties,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
9d98ae41-f62f-eb11-82d9-06046f4758b7,,5e483450-e92f-eb11-82d9-06046f4758b7,CustomerCaseRootCauseAnalysis,aggregation=shared,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,baf84f9a-1195-ea11-8295-06c610ca3b44,ServicingRootCauseAnalysis,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public
c7583fbd-f72f-eb11-82d9-06046f4758b7,,5e483450-e92f-eb11-82d9-06046f4758b7,CustomerCaseRootCauseAnalysis,aggregation=shared,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,02edad2d-f7e4-e911-82b0-0662ffb5e934,FraudCaseRootCauseAnalysis,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public
f4416361-c995-ea11-8295-06710fa33e76,,4c2f9452-c995-ea11-8295-06710fa33e76,BrandValueAssessment,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public,5c15a830-c495-ea11-8295-06710fa33e76,Brand,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public
d330fc58-cb95-ea11-8295-06710fa33e76,,b67997da-c495-ea11-8295-06710fa33e76,BrandManagementPlan,aggregation=shared,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,7966d6b9-ca95-ea11-8295-06710fa33e76,BrandImpactTroubleshooting,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public
f6404351-cb95-ea11-8295-06710fa33e76,,b67997da-c495-ea11-8295-06710fa33e76,BrandManagementPlan,aggregation=shared,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,b00c5eb3-ca95-ea11-8295-06710fa33e76,BrandAdvice,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public
e2d9d830-cd95-ea11-8295-06710fa33e76,,7966d6b9-ca95-ea11-8295-06710fa33e76,BrandImpactTroubleshooting,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,cd75370f-cd95-ea11-8295-06710fa33e76,BrandImpactEvent,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,"nm=Addressed
Issue",upper=*,visibility=public
55e7010f-c595-ea11-8295-06710fa33e76,,5c15a830-c495-ea11-8295-06710fa33e76,Brand,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,b67997da-c495-ea11-8295-06710fa33e76,BrandManagementPlan,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
48d3bf00-1050-eb11-82e3-06bddbe1afcf,,d4c6f0aa-44ca-e911-8296-0635f2119d82,DirectDebitService,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,d892e7c5-0f50-eb11-82e3-06bddbe1afcf,DirectDebitArrangement,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
1a019db7-1450-eb11-82e3-06bddbe1afcf,,ebbe09e1-faa2-e911-8280-06df5c9909ce,DirectDebitInstruction,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,5f0f397b-2a50-eb11-82e3-06bddbe1afcf,DirectDebitTransaction,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
341687d7-0f50-eb11-82e3-06bddbe1afcf,,6d8fea76-e855-e911-8237-060aad038e48,DirectDebitMandate,aggregation=composite,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=1,nm=,upper=1,visibility=public,d892e7c5-0f50-eb11-82e3-06bddbe1afcf,DirectDebitArrangement,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
24f71597-2a50-eb11-82e3-06bddbe1afcf,,5f0f397b-2a50-eb11-82e3-06bddbe1afcf,DirectDebitTransaction,aggregation=shared,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,e00fb730-fd60-e911-8237-068e13695e26,PaymentTransaction,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public
dd07a07b-2c50-eb11-82e3-06bddbe1afcf,,d892e7c5-0f50-eb11-82e3-06bddbe1afcf,DirectDebitArrangement,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public,9fe05cf9-fd60-e911-8237-068e13695e26,Account,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,"nm=DirectDebit
Account",upper=1,visibility=public
77c7811b-1050-eb11-82e3-06bddbe1afcf,,d892e7c5-0f50-eb11-82e3-06bddbe1afcf,DirectDebitArrangement,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,ebbe09e1-faa2-e911-8280-06df5c9909ce,DirectDebitInstruction,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
2626833a-b555-eb11-82e3-06afd984332d,,6ecbaa2f-e597-e911-827a-06d89370a58e,DepositService,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,01d64189-5c96-e911-823e-062d75b50cca,DepositServiceArrangement,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
5eb5d9bb-ae5c-eb11-82e9-065ba105bad3,,6ecbaa2f-e597-e911-827a-06d89370a58e,DepositService,aggregation=composite,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=1,nm=,upper=1,visibility=public,f4ff74b0-ae5c-eb11-82e9-065ba105bad3,DepositServiceModality,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=1,nm=,upper=1,visibility=public
f3425c4f-af5c-eb11-82e9-065ba105bad3,,01d64189-5c96-e911-823e-062d75b50cca,DepositServiceArrangement,aggregation=composite,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,4b2f1a29-af5c-eb11-82e9-065ba105bad3,DepositServiceArrangementModality,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public
b8027cef-af5c-eb11-82e9-065ba105bad3,,7dfa7ee3-10ab-e911-828c-0605e339c9ac,DepositInstruction,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,416e50ca-af5c-eb11-82e9-065ba105bad3,DepositTransaction,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
98fb1b6e-af5c-eb11-82e9-065ba105bad3,,f4ff74b0-ae5c-eb11-82e9-065ba105bad3,DepositServiceModality,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,4b2f1a29-af5c-eb11-82e9-065ba105bad3,DepositServiceArrangementModality,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
a2d394b9-a15c-eb11-82e9-065ba105bad3,,ca197cf7-e497-e911-827a-06d89370a58e,PaymentService,aggregation=shared,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=1,nm=,upper=1,visibility=public,6ecbaa2f-e597-e911-827a-06d89370a58e,DepositService,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=1,nm=,upper=1,visibility=public
f842012d-b15c-eb11-82e9-065ba105bad3,,416e50ca-af5c-eb11-82e9-065ba105bad3,DepositTransaction,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,69ad2f0a-0061-e911-8237-068e13695e26,AccountEntry,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
fc42012d-b15c-eb11-82e9-065ba105bad3,,01d64189-5c96-e911-823e-062d75b50cca,DepositServiceArrangement,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public,9fe05cf9-fd60-e911-8237-068e13695e26,Account,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,"nm=Arrangement
Account",upper=1,visibility=public
714b039d-8ab7-e911-8291-0657c6eca57a,,b83d6648-8ab7-e911-8291-0657c6eca57a,CardNetwork,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,"nm=Handling
Network",upper=1,visibility=public,18be1517-756a-e911-8237-061b75d0d318,CardPaymentTransaction,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
d445d6c8-39cf-e911-8296-06bf764cb4bc,,d4d0de74-94f1-e911-82b5-06f9534b74c8,PartyRelationshipAgreement,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,"nm=Relationship
Agreement",upper=*,visibility=public,fa6490a1-8957-e911-8237-0645314e65ac,PartyRelationship,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=1,nm=,upper=*,visibility=public
8769c56f-619e-e911-827a-06e8627b9e66,,6f53fd37-8257-e911-8237-0645314e65ac,Party,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,6499694e-619e-e911-827a-06e8627b9e66,PartyLocation,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
0cde2513-e377-e911-823e-067f69a9229a,,5f9548fc-e277-e911-823e-067f69a9229a,ContactPoint,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=1,nm=,upper=*,visibility=public,6f53fd37-8257-e911-8237-0645314e65ac,Party,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public
284ba959-a2f1-e911-82b5-06f9534b74c8,,6f53fd37-8257-e911-8237-0645314e65ac,Party,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,2f325852-a2f1-e911-82b5-06f9534b74c8,PartyCertificate,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
51d15164-619e-e911-827a-06e8627b9e66,,063a0dcf-0561-e911-8237-068e13695e26,Location,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,6499694e-619e-e911-827a-06e8627b9e66,PartyLocation,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
f2c1d776-62d2-e911-8296-0633d5e0e610,,6f53fd37-8257-e911-8237-0645314e65ac,Party,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,31cfdbdc-61d2-e911-8296-0633d5e0e610,PowerOfAttorney,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
5c9ec85d-95f1-e911-82b5-06f9534b74c8,,6f53fd37-8257-e911-8237-0645314e65ac,Party,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=1,nm=,upper=1,visibility=public,abe83556-95f1-e911-82b5-06f9534b74c8,PartyProfile,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
b627d6f0-e55c-eb11-82e9-065ba105bad3,,091d20a8-f148-ea11-8289-064c9ffef37a,TransactionDocument,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public,ba9abd47-c656-e911-8237-06ecaacb4c68,Document,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public
aad54efd-1348-ea11-8289-062ea3b80f12,,5708a70e-fd6f-e911-8237-06309b11004c,Transaction,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,d3cfa06d-1248-ea11-8289-062ea3b80f12,TransactionLocation,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
5025d8b0-f148-ea11-8289-064c9ffef37a,,5708a70e-fd6f-e911-8237-06309b11004c,Transaction,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,091d20a8-f148-ea11-8289-064c9ffef37a,TransactionDocument,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
f0e09e19-c556-e911-8237-06ecaacb4c68,,6b37300c-c056-e911-8237-06ecaacb4c68,CollateralAsset,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,280f7086-bf56-e911-8237-06ecaacb4c68,CollateralAssetArrangement,aggregation=composite,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public
