UID Class Diagram,Class Diagram,UID BO,Referenced Element,Dimension,Positions,Colour,
abb03e22-19cf-e911-8296-06bf764cb4bc,Legal Entity Directory BOM Diagram,fbc0b4fa-8257-e911-8237-0645314e65ac,Organisation,"1049.000, 320.000","2435.500, 1520.000","255, 255, 255",
abb03e22-19cf-e911-8296-06bf764cb4bc,Legal Entity Directory BOM Diagram,5f9548fc-e277-e911-823e-067f69a9229a,ContactPoint,"454.000, 180.000","3141.500, 1080.000","255, 255, 255",
abb03e22-19cf-e911-8296-06bf764cb4bc,Legal Entity Directory BOM Diagram,1dc7222b-5ad2-e911-8296-0633d5e0e610,ContactPointTypeValues,"508.000, 362.000","3681.500, 940.000","255, 255, 255",
abb03e22-19cf-e911-8296-06bf764cb4bc,Legal Entity Directory BOM Diagram,ab98bae6-f4ef-e911-82b5-061762718aaa,OrganizationInvolvement,"631.000, 180.000","3755.500, 1660.000","255, 255, 255",
abb03e22-19cf-e911-8296-06bf764cb4bc,Legal Entity Directory BOM Diagram,de2498cb-6188-e911-823e-06b09c770f0c,Jurisdiction,"400.000, 180.000","3575.500, 2400.000","234, 232, 232",
abb03e22-19cf-e911-8296-06bf764cb4bc,Legal Entity Directory BOM Diagram,a3008920-34cf-e911-8296-06bf764cb4bc,OrganisationProfile,"419.000, 500.000","2118.500, 2060.000","255, 255, 255",
abb03e22-19cf-e911-8296-06bf764cb4bc,Legal Entity Directory BOM Diagram,fa6490a1-8957-e911-8237-0645314e65ac,PartyRelationship,"574.000, 200.000","3001.500, 460.000","234, 232, 232",
abb03e22-19cf-e911-8296-06bf764cb4bc,Legal Entity Directory BOM Diagram,bcf7c909-f6ef-e911-82b5-061762718aaa,OrganizationInvolvementTypeValues,"590.000, 362.000","3855.500, 1880.000","255, 255, 255",
abb03e22-19cf-e911-8296-06bf764cb4bc,Legal Entity Directory BOM Diagram,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,"400.000, 180.000","3175.500, 872.000","234, 232, 232",
abb03e22-19cf-e911-8296-06bf764cb4bc,Legal Entity Directory BOM Diagram,b2f7829a-0a68-e911-8237-06dd5e24f7bc,Agreement,"400.000, 180.000","2000.000, 160.000","234, 232, 232",
abb03e22-19cf-e911-8296-06bf764cb4bc,Legal Entity Directory BOM Diagram,a442f4fb-3acf-e911-8296-06bf764cb4bc,ShareholdingProfile,"400.000, 180.000","1775.500, 1530.000","255, 255, 255",
abb03e22-19cf-e911-8296-06bf764cb4bc,Legal Entity Directory BOM Diagram,d4d0de74-94f1-e911-82b5-06f9534b74c8,PartyRelationshipAgreement,"471.000, 180.000","1964.500, 460.000","255, 255, 255",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,1ffe1e31-bcd7-e911-82a8-06ff143686d8,InformationService,"637.000, 380.000","1320.000, 760.000","255, 128, 128",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,3f75561c-83d8-e911-82a8-06740d90dcce,SystemServiceInstance,"423.000, 180.000","501.500, 460.000","255, 255, 255",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,6fd7342a-138d-e911-823e-067b7da9d714,System,"400.000, 180.000","2180.000, 460.000","234, 232, 232",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,d58b372b-c1d7-e911-82a8-06ff143686d8,User,"400.000, 180.000","720.000, 2390.000","255, 128, 128",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,8a676056-bed7-e911-82a8-06ff143686d8,MarketInformationSwitch,"452.000, 180.000","2170.500, 1540.000","255, 128, 128",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,f52e83c7-c1d7-e911-82a8-06ff143686d8,SystemServiceAccessProfile,"511.000, 180.000","2141.000, 60.000","255, 128, 128",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,d11a919d-bed7-e911-82a8-06ff143686d8,MarketInformationSwitchService,"574.000, 180.000","1346.500, 1540.000","255, 128, 128",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,1ea28055-c2d7-e911-82a8-06ff143686d8,UserAccessRight,"400.000, 180.000","1420.000, 2390.000","255, 128, 128",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,f5145a15-138d-e911-823e-067b7da9d714,Session,"400.000, 180.000","513.000, 60.000","234, 232, 232",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,6f53fd37-8257-e911-8237-0645314e65ac,Party,"400.000, 180.000","165.000, 2390.000","234, 232, 232",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,6d64a3db-bfd7-e911-82a8-06ff143686d8,MarketInformationSwitchSession,"955.000, 260.000","165.000, 1910.000","255, 255, 255",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,8f307ee7-79d8-e911-82a8-06740d90dcce,InformationServiceInstance,"760.000, 200.000","360.000, 760.000","255, 255, 255",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,fa519742-c0d7-e911-82a8-06ff143686d8,MarketInformationSwitchSessionServiceSource,"820.000, 180.000","303.000, 1160.000","255, 255, 255",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,8e5ac3ee-f490-e911-823e-06f3e7d1f9c0,SystemService,"400.000, 180.000","1433.500, 460.000","234, 232, 232",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,fc081a98-bfd7-e911-82a8-06ff143686d8,MarketInformationSwitchServiceProfile,"681.000, 180.000","1293.000, 1920.000","255, 128, 128",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,c09059ab-7fd8-e911-82a8-06740d90dcce,MarketInformationSwitchSessionService,"704.000, 180.000","419.000, 1540.000","255, 255, 255",
a6e70e87-acaf-e911-828c-060cf0984146,Market Data Switch Operation BOM Diagram,567eae41-bfd7-e911-82a8-06ff143686d8,MarketInformationServiceSource,"793.000, 180.000","1240.000, 1200.000","255, 128, 128",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,7ca66bda-b0a4-e911-8284-06aa98c8c004,SessionDialogueLog,"400.000, 180.000","4760.000, 2020.000","255, 128, 128",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,f5145a15-138d-e911-823e-067b7da9d714,Session,"454.000, 200.000","2439.500, 1140.000","255, 255, 255",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,861533f6-2ba9-e911-8288-061bf39b9564,SessionDialogueLogEntry,"463.000, 180.000","3960.000, 2020.000","255, 128, 128",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,56af07d7-8575-e911-823e-064d1e9fbc72,CustomerContact,"400.000, 180.000","3960.000, 1540.000","255, 128, 128",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,92c8be6e-97d0-e911-8296-061886980330,EBranchChannelSessionIssue,"527.000, 180.000","1620.000, 2460.000","255, 255, 255",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,a68b4bcf-97d0-e911-8296-061886980330,SessionReport,"719.000, 200.000","880.000, 1130.000","255, 255, 255",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,f0b33695-97d0-e911-8296-061886980330,SessionIssue,"588.000, 200.000","1619.000, 1650.000","255, 255, 255",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,afba3cc0-56a9-e911-8288-061bf39b9564,ContactInvolvement,"400.000, 180.000","3960.000, 510.000","255, 128, 128",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,b000c71e-178d-e911-823e-067b7da9d714,CustomerDialogueSession,"639.000, 200.000","2565.000, 1530.000","255, 128, 128",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,aaf886eb-95d0-e911-8296-061886980330,EBranchChannelSessionReport,"753.000, 200.000","880.000, 2020.000","255, 255, 255",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,"440.000, 180.000","3010.000, 200.000","234, 232, 232",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,a077bf34-98d0-e911-8296-061886980330,ProductionIssueInvolvement,"504.000, 180.000","2565.000, 510.000","255, 128, 128",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,6aef109f-99d0-e911-8296-061886980330,EBranchChannelSession,"1313.000, 340.000","2320.000, 2020.000","255, 255, 255",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,9c16ab8a-b4d0-e911-8296-0616e6ad87a8,ProductionIssue,"703.000, 380.000","1532.000, 310.000","255, 128, 128",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,10d9ab80-67d1-e911-8296-06e952cbc5d0,EBranchChannel,"400.000, 180.000","3050.000, 820.000","255, 128, 128",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,6c234bee-98d0-e911-8296-061886980330,EBranchChannelServiceMenu,"521.000, 180.000","3583.000, 820.000","255, 128, 128",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,10a63256-ff9b-e911-827a-06f79ea59412,SessionEvent,"562.000, 200.000","1780.000, 1200.000","255, 255, 255",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,6fd7342a-138d-e911-823e-067b7da9d714,System,"400.000, 180.000","2466.500, 820.000","234, 232, 232",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,fd5594ed-6cd1-e911-8296-06e952cbc5d0,SessionEventLog,"400.000, 180.000","1100.000, 1420.000","255, 255, 255",
0eab641b-6176-e911-823e-067486981364,eBranch Operations BOM Diagram,0263db4b-0761-e911-8237-068e13695e26,Device,"514.000, 560.000","3069.000, 2560.000","234, 232, 232",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,dc30a7df-8b96-e911-823e-066b14f5b0ba,ACHSystem,"525.000, 200.000","1596.000, 670.000","255, 128, 128",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,f5145a15-138d-e911-823e-067b7da9d714,Session,"454.000, 200.000","1017.000, 1000.000","255, 128, 128",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,9fe05cf9-fd60-e911-8237-068e13695e26,Account,"400.000, 260.000","4431.000, 1419.000","255, 128, 128",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,a798d911-8996-e911-823e-066b14f5b0ba,MoneyTransferInstructionInvolvement,"1442.000, 260.000","3578.500, 990.000","255, 128, 128",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,75aa09d0-8c96-e911-823e-066b14f5b0ba,ACHSession,"531.000, 180.000","1613.000, 1130.000","255, 128, 128",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,d878ae63-dfa3-e911-8284-065b2e50bbd8,CorrespondentServiceSession,"826.000, 180.000","1613.000, 920.000","255, 128, 128",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,093f2c3f-e3a3-e911-8284-065b2e50bbd8,TransactionAccountRole,"687.000, 260.000","3606.500, 2120.000","255, 255, 255",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,1b1a87d5-8a99-e911-827a-063e87e1daa2,AccountTypeValues,"461.000, 422.000","4878.500, 1257.000","255, 128, 128",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,c6efc1e7-dea3-e911-8284-065b2e50bbd8,CorrespondentAccessSystem,"686.000, 180.000","1596.000, 470.000","255, 128, 128",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,6fd7342a-138d-e911-823e-067b7da9d714,System,"576.000, 200.000","929.000, 600.000","255, 128, 128",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,68a691d5-f1a3-e911-8284-065b2e50bbd8,TaskInputOutput,"400.000, 180.000","1226.000, 2240.000","255, 255, 255",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,f701c099-2b81-e911-823e-06e80039c878,Workstep,"400.000, 180.000","301.000, 3049.000","255, 255, 255",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,3724febb-e2a3-e911-8284-065b2e50bbd8,InstructionAccountRole,"669.000, 260.000","3606.500, 1310.000","255, 128, 128",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,7f1c6d0d-8cab-e911-828c-06e8cb19aef2,InstructionRelationshipTypeValues,"620.000, 302.000","3377.000, 260.000","255, 128, 128",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,071c4cb6-8896-e911-823e-062d75b50cca,MoneyTransferInvolvementTypeValues,"720.000, 260.000","3939.500, 2800.000","255, 255, 255",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,7fa3e892-2b81-e911-823e-06e80039c878,Procedure,"400.000, 180.000","1168.000, 3049.000","255, 255, 255",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,50626d66-e7a3-e911-8284-065b2e50bbd8,PaymentExecutionTask,"424.000, 180.000","277.000, 2760.000","255, 255, 255",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,a8272ce6-c2ab-e911-828c-0679464e26a4,PaymentServiceProviderInstruction,"899.000, 340.000","2061.000, 1760.000","255, 255, 255",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,1bd1464b-e8a3-e911-8284-065b2e50bbd8,PaymentExecutionProcedureExecution,"678.000, 180.000","1029.000, 2510.000","255, 255, 255",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,6f5558d4-e7a3-e911-8284-065b2e50bbd8,PaymentExecutionTaskExecution,"737.000, 180.000","157.000, 2500.000","255, 255, 255",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,153356d1-a399-e911-827a-063e87e1daa2,PaymentExecutionProcedure,"516.000, 180.000","1110.000, 2760.000","255, 255, 255",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,4b8c8046-af9d-e911-827a-06c73ecc951a,DateTime,"400.000, 180.000","1357.000, 1430.000","255, 255, 255",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,8d2e5ef5-f2a3-e911-8284-065b2e50bbd8,PaymentSystemSelection,"459.000, 180.000","1445.000, 1820.000","255, 255, 255",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,071c4cb6-8896-e911-823e-062d75b50cca,MoneyTransferInvolvementTypeValues,"675.000, 520.000","4275.500, 420.000","255, 128, 128",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,3500ccc6-af9d-e911-827a-06c73ecc951a,RelevantDateTime,"588.000, 180.000","1851.000, 1429.000","255, 255, 255",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,92910269-8dab-e911-828c-06e8cb19aef2,MoneyTransferInstruction,"1022.000, 600.000","2537.000, 940.000","255, 128, 128",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,8caa8f90-eba3-e911-8284-065b2e50bbd8,InstructionRelationship,"720.000, 200.000","2628.500, 562.000","255, 128, 128",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,116cc96f-c7ab-e911-828c-0679464e26a4,MoneyTransferTransactionInvolvement,"822.000, 260.000","3857.000, 2510.000","255, 255, 255",
5d7bd348-8bab-e911-828c-06e8cb19aef2,Payment Execution BOM Diagram,7314f250-f5a9-e911-8288-06812ee60d2a,MoneyTransferTransaction,"874.000, 380.000","2543.000, 2420.000","255, 255, 255",
3eab641b-6176-e911-823e-067486981364,Guideline Compliance BOM Diagram,6f53fd37-8257-e911-8237-0645314e65ac,Party,"400.000, 180.000","120.000, 180.000","234, 232, 232",
3eab641b-6176-e911-823e-067486981364,Guideline Compliance BOM Diagram,ea29b2f8-2ca2-e911-8280-068b5ca1cd1a,GuidelineComplianceCheck,"488.000, 180.000","1456.000, 900.000","255, 255, 255",
3eab641b-6176-e911-823e-067486981364,Guideline Compliance BOM Diagram,ca6022c3-e4b1-e911-828c-064878c57b7e,GuidelineCompliance,"400.000, 180.000","1544.000, 1340.000","255, 255, 255",
3eab641b-6176-e911-823e-067486981364,Guideline Compliance BOM Diagram,bbdee486-984d-ea11-8289-065500ef61d8,ComplianceCheck,"400.000, 180.000","1500.000, 620.000","255, 255, 255",
3eab641b-6176-e911-823e-067486981364,Guideline Compliance BOM Diagram,06f0124e-2da2-e911-8280-068b5ca1cd1a,Guideline,"400.000, 180.000","580.000, 900.000","255, 255, 255",
3eab641b-6176-e911-823e-067486981364,Guideline Compliance BOM Diagram,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,"400.000, 180.000","120.000, 760.000","234, 232, 232",
3eab641b-6176-e911-823e-067486981364,Guideline Compliance BOM Diagram,a89ab5c4-598b-e911-823e-0680522666ec,RuleSet,"503.000, 380.000","580.000, 320.000","234, 232, 232",
3eab641b-6176-e911-823e-067486981364,Guideline Compliance BOM Diagram,ea36f45c-1656-e911-8237-060aad038e48,Assessment,"400.000, 180.000","1500.000, 320.000","234, 232, 232",
3eab641b-6176-e911-823e-067486981364,Guideline Compliance BOM Diagram,d80f3b1c-e5b1-e911-828c-064878c57b7e,GuidelineComplianceCheckInvolvement,"686.000, 180.000","380.000, 1200.000","255, 255, 255",
3eab641b-6176-e911-823e-067486981364,Guideline Compliance BOM Diagram,cf97fd7e-ff76-e911-823e-0663ff6583c4,Test,"400.000, 180.000","2440.000, 320.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,5d82df8f-4f6b-e911-8237-06098389ccc2,CorrespondentBankingAgreement,"610.000, 180.000","1320.000, 1080.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,40da9702-b96c-e911-8237-068832ceab6c,CorrespondentBankingInvolvement,"788.000, 180.000","120.000, 1120.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,9fe05cf9-fd60-e911-8237-068e13695e26,Account,"400.000, 180.000","1500.000, 3600.000","234, 232, 232",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,44b91a94-1068-e911-8237-06dd5e24f7bc,PaymentObligation,"610.000, 180.000","1380.000, 1760.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,69ad2f0a-0061-e911-8237-068e13695e26,AccountEntry,"400.000, 180.000","1480.000, 3280.000","234, 232, 232",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,e00fb730-fd60-e911-8237-068e13695e26,PaymentTransaction,"596.000, 180.000","1360.000, 2900.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,4db66adc-cc70-e911-8237-06460bf93392,SettlementArrangement,"610.000, 180.000","2380.000, 1760.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,3266cb70-d665-e911-8237-06eba4258fe0,SettlementInstruction,"700.000, 460.000","2600.000, 2320.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,e6304f28-fd60-e911-8237-068e13695e26,PaymentInstruction,"863.000, 380.000","1320.000, 2340.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,03ae8967-f36f-e911-8237-06309b11004c,ClearingService,"360.000, 140.000","2880.000, 1400.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,fe5b2da6-6171-e911-823e-0681a0c1a2d0,CorrespondentBankProduct,"610.000, 180.000","2420.000, 1060.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,b2f7829a-0a68-e911-8237-06dd5e24f7bc,Agreement,"400.000, 180.000","1480.000, 440.000","234, 232, 232",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,52195823-8271-e911-823e-0681a0c1a2d0,ClearingInvolvement,"565.000, 180.000","560.000, 380.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,e044b3b6-8271-e911-823e-0681a0c1a2d0,ClearingSettlementArrangement,"610.000, 180.000","3220.000, 1780.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,1aeced65-0b68-e911-8237-06dd5e24f7bc,BankingProduct,"400.000, 180.000","2520.000, 720.000","234, 232, 232",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,"400.000, 180.000","240.000, 820.000","234, 232, 232",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,186ec073-f36f-e911-8237-06309b11004c,SettlementService,"360.000, 140.000","2480.000, 1400.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,a15a89c8-8d7d-eb11-8309-06f448ba7707,CorrespondentBankingInvolvementTypeValues,"747.000, 242.000","20.000, 1360.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,73eec8d0-8071-e911-823e-0681a0c1a2d0,ClearingAgreement,"400.000, 180.000","800.000, 800.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,388dbabe-8271-e911-823e-0681a0c1a2d0,Clearing Instruction,"400.000, 180.000","3300.000, 2820.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,eb9ee771-8d7d-eb11-8309-06f448ba7707,ClearingInvolvementTypeValues,"524.000, 220.000","580.500, 140.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,1b1a87d5-8a99-e911-827a-063e87e1daa2,AccountTypeValues,"461.000, 482.000","1990.000, 3160.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,3220c939-8e7d-eb11-8309-06f448ba7707,CorrespondentBankingArrangement,"585.000, 180.000","1380.000, 1420.000","255, 255, 255",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,6f53fd37-8257-e911-8237-0645314e65ac,Party,"400.000, 180.000","60.000, 480.000","234, 232, 232",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,dd3cc0aa-0a68-e911-8237-06dd5e24f7bc,Arrangement,"400.000, 180.000","811.000, 1460.000","234, 232, 232",
d03e92c5-496b-e911-8237-06098389ccc2,Correspondent Bank BOM Diagram,ca197cf7-e497-e911-827a-06d89370a58e,PaymentService,"360.000, 140.000","2080.000, 1400.000","255, 255, 255",
504d6b15-6176-e911-823e-067486981364,Customer Precedents BOM Diagram,e1226616-2d81-e911-823e-06e80039c878,CustomerPrecedentsProcedure,"556.000, 180.000","1182.000, 700.000","255, 255, 255",
504d6b15-6176-e911-823e-067486981364,Customer Precedents BOM Diagram,7fa3e892-2b81-e911-823e-06e80039c878,Procedure,"400.000, 180.000","1260.000, 160.000","255, 255, 255",
504d6b15-6176-e911-823e-067486981364,Customer Precedents BOM Diagram,b118f439-2d81-e911-823e-06e80039c878,CustomerPrecedentMaintenanceWorkstep,"760.000, 180.000","2040.000, 700.000","255, 255, 255",
504d6b15-6176-e911-823e-067486981364,Customer Precedents BOM Diagram,1803596c-6675-e911-823e-064d1e9fbc72,CustomerRelationship,"404.000, 180.000","500.000, 1460.000","255, 128, 128",
504d6b15-6176-e911-823e-067486981364,Customer Precedents BOM Diagram,f701c099-2b81-e911-823e-06e80039c878,Workstep,"460.000, 160.000","2500.000, 140.000","255, 255, 255",
504d6b15-6176-e911-823e-067486981364,Customer Precedents BOM Diagram,010fac5a-2d81-e911-823e-06e80039c878,CustomerPrecedentRecordWorkstep,"644.000, 180.000","2340.000, 940.000","255, 255, 255",
504d6b15-6176-e911-823e-067486981364,Customer Precedents BOM Diagram,dfa2a212-3081-e911-823e-06e80039c878,CustomerPrecedent,"676.000, 260.000","300.000, 700.000","255, 255, 255",
504d6b15-6176-e911-823e-067486981364,Customer Precedents BOM Diagram,b73b3288-3181-e911-823e-06e80039c878,CustomerPrecedentProfile,"474.000, 180.000","503.000, 1120.000","255, 255, 255",
504d6b15-6176-e911-823e-067486981364,Customer Precedents BOM Diagram,bcfa8532-2d81-e911-823e-06e80039c878,CustomerPrecedentCaptureWorkstep,"655.000, 180.000","1980.000, 480.000","255, 255, 255",
e529af3a-15a7-e911-8288-06c837085cb8,Sales Product Agreement BOM Diagram,4efd4f66-d898-e911-827a-06145c0197d0,Agreement/AgreementRelationship,"609.000, 180.000","3151.000, 200.000","234, 232, 232",
e529af3a-15a7-e911-8288-06c837085cb8,Sales Product Agreement BOM Diagram,dd3cc0aa-0a68-e911-8237-06dd5e24f7bc,Arrangement,"400.000, 180.000","2418.500, 1910.000","234, 232, 232",
e529af3a-15a7-e911-8288-06c837085cb8,Sales Product Agreement BOM Diagram,606c73fd-2694-e911-823e-069871e4ec9c,ArrangementInvolvement,"787.000, 260.000","1466.000, 1420.000","255, 255, 255",
e529af3a-15a7-e911-8288-06c837085cb8,Sales Product Agreement BOM Diagram,dfe32bfe-2281-e911-823e-06e233b9c772,AgreementInvolvement,"753.000, 260.000","1500.000, 1080.000","255, 255, 255",
e529af3a-15a7-e911-8288-06c837085cb8,Sales Product Agreement BOM Diagram,6f53fd37-8257-e911-8237-0645314e65ac,Party,"400.000, 180.000","760.000, 780.000","234, 232, 232",
e529af3a-15a7-e911-8288-06c837085cb8,Sales Product Agreement BOM Diagram,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,"400.000, 180.000","760.000, 1270.000","234, 232, 232",
e529af3a-15a7-e911-8288-06c837085cb8,Sales Product Agreement BOM Diagram,1aeced65-0b68-e911-8237-06dd5e24f7bc,BankingProduct,"437.000, 180.000","3760.000, 760.000","234, 232, 232",
e529af3a-15a7-e911-8288-06c837085cb8,Sales Product Agreement BOM Diagram,b2f7829a-0a68-e911-8237-06dd5e24f7bc,Agreement,"620.000, 240.000","2460.000, 1060.000","234, 232, 232",
e529af3a-15a7-e911-8288-06c837085cb8,Sales Product Agreement BOM Diagram,ba9abd47-c656-e911-8237-06ecaacb4c68,Document,"449.000, 180.000","1380.000, 780.000","234, 232, 232",
e529af3a-15a7-e911-8288-06c837085cb8,Sales Product Agreement BOM Diagram,de2498cb-6188-e911-823e-06b09c770f0c,Jurisdiction,"400.000, 180.000","3300.000, 1120.000","234, 232, 232",
e529af3a-15a7-e911-8288-06c837085cb8,Sales Product Agreement BOM Diagram,a89ab5c4-598b-e911-823e-0680522666ec,RuleSet,"532.000, 380.000","3680.000, 2020.000","234, 232, 232",
